2024-08-19T20:38:38.008996 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2024-08-19T20:38:38.058475 [ENB    ] [I] Built in Release mode using commit ec29b0c1f on branch HEAD.
2024-08-19T20:38:38.095640 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:2152
2024-08-19T20:38:38.095646 [COMN   ] [D] [    0] RxSockets: socket fd=6 has been registered.
2024-08-19T20:38:38.095648 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:38:38.095652 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:38:38.095654 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:38:38.095673 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:38:56.484153 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:38:56.484264 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:38:56.484277 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:39:06.483594 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:39:06.483599 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:39:06.483601 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:39:06.483610 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:39:25.156147 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:39:25.156245 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:39:25.156281 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:39:35.156183 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:39:35.156190 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:39:35.156192 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:39:35.156205 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:39:53.828148 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:39:53.828240 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:39:53.828255 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:40:03.828175 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:40:03.828184 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:40:03.828188 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:40:03.828216 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:40:22.501141 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:40:22.501237 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:40:22.501250 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:40:32.500463 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:40:32.500467 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:40:32.500468 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:40:32.500477 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:40:51.172189 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:40:51.172292 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:40:51.172303 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:41:01.172088 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:41:01.172094 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:41:01.172096 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:41:01.172133 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:41:19.845136 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:41:19.845194 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:41:19.845220 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:41:29.844485 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:41:29.844490 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:41:29.844491 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:41:29.844501 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:41:48.516134 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:41:48.516219 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:41:48.516227 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:41:58.516043 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:41:58.516047 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:41:58.516049 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:41:58.516060 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:42:17.188133 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:42:17.188214 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:42:17.188229 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:42:27.188180 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:42:27.188185 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:42:27.188186 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:42:27.188196 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:42:45.860140 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:42:45.860274 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:42:45.860288 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:42:55.860199 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:42:55.860203 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:42:55.860204 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:42:55.860217 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:43:14.533133 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:43:14.533255 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:43:14.533267 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:43:24.533280 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:43:24.533284 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:43:24.533286 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:43:24.533299 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:43:43.204154 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:43:43.204292 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:43:43.204333 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:43:53.203210 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:43:53.203215 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:43:53.203216 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:43:53.203228 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:44:11.876155 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:44:11.876207 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:44:11.876222 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:44:21.877821 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:44:21.877825 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:44:21.877826 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:44:21.877835 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:44:40.549143 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:44:40.549238 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:44:40.549263 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:44:50.550818 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:44:50.550823 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:44:50.550824 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:44:50.550833 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:45:09.221152 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:45:09.221238 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:45:09.221250 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:45:19.220921 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:45:19.220925 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:45:19.220926 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:45:19.220935 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:45:37.893179 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:45:37.893282 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:45:37.893296 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:45:47.893130 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:45:47.893135 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
